Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/16KB/16KB.out,86384.290,1.648,10.160,10.761,1.594,43.931,141.192,308.993
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/32KB/32KB.out,43393.687,1.674,10.195,10.116,1.588,41.562,139.140,78.337
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/64KB/64KB.out,86787.374,1.688,10.202,10.116,1.588,44.843,142.420,156.675
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/128KB/128KB.out,173574.749,1.742,10.229,10.116,1.588,50.572,148.150,313.350
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/256KB/256KB.out,171126.657,1.812,10.288,8.314,1.588,52.608,151.261,163.981
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/512KB/512KB.out,413514.033,1.924,10.352,10.066,1.578,56.821,153.901,642.628
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/1024KB/1024KB.out,651458.769,2.102,10.432,9.967,1.578,69.456,165.642,679.355
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/2048KB/2048KB.out,903846.757,2.230,10.537,8.214,1.575,74.728,171.944,404.503
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/STTRAM/4096KB/4096KB.out,1550000.0,2.664,10.772,8.213,1.570,83.964,181.228,765.362
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/16KB/16KB.out,46161.307,0.102,0.09,373.830,280.426,9.326,8.545,4.577
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/32KB/32KB.out,92322.613,0.149,0.114,373.830,280.426,14.168,13.387,9.155
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/64KB/64KB.out,188242.493,0.191,0.146,290.879,206.344,18.831,17.275,15.596
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/128KB/128KB.out,260712.831,0.265,0.197,191.038,151.326,21.742,20.770,29.494
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/256KB/256KB.out,292069.853,0.379,0.282,157.099,142.143,25.165,23.906,31.914
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/512KB/512KB.out,638282.226,0.545,0.398,149.225,98.107,36.045,33.397,74.722
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/1024KB/1024KB.out,892661.510,0.754,0.544,80.837,70.941,43.117,38.944,121.209
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/2048KB/2048KB.out,1593000.0,1.154,0.77,74.786,59.551,62.400,54.081,229.041
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/SRAM/4096KB/4096KB.out,3010000.0,1.855,1.141,48.276,52.669,85.759,73.098,427.646
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/16KB/16KB.out,141825.153,1.738,20.173,10.178,0.797,37.159,93.304,310.675
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/32KB/32KB.out,74151.958,1.751,20.213,10.018,0.796,33.783,90.273,155.918
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/64KB/64KB.out,148303.916,1.788,20.232,10.018,0.796,38.418,94.908,311.836
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/128KB/128KB.out,295233.628,1.873,20.290,10.081,0.795,45.815,102.765,312.894
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/256KB/256KB.out,309682.623,1.893,20.343,9.756,0.794,47.959,105.829,322.100
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/512KB/512KB.out,334461.338,1.912,20.411,9.220,0.791,50.504,110.220,328.900
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteLatency/RRAM/1024KB/1024KB.out,472532.415,2.144,20.475,9.373,0.791,52.466,109.041,668.983
