Tool,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
NVSim,WriteLatency,RRAM,4096,759598.369,2.514,20.627,8.624,0.789,66.526,120.385,1457.0
NVSim,WriteLatency,PCRAM,16,,,,,,,,
NVSim,WriteLatency,PCRAM,32,,,,,,,,
NVSim,WriteLatency,PCRAM,64,,,,,,,,
NVSim,WriteLatency,PCRAM,128,,,,,,,,
NVSim,WriteLatency,PCRAM,256,,,,,,,,
NVSim,WriteLatency,PCRAM,512,,,,,,,,
NVSim,WriteLatency,PCRAM,1024,,,,,,,,
NVSim,WriteLatency,PCRAM,2048,,,,,,,,
NVSim,WriteLatency,PCRAM,4096,,,,,,,,
NVSim,ReadDynamicEnergy,STTRAM,16,11093.172,1.865,10.400,6.607,1.570,30.881,131.272,19.892
NVSim,ReadDynamicEnergy,STTRAM,32,16656.354,2.014,10.623,4.475,1.539,30.955,134.203,20.557
NVSim,ReadDynamicEnergy,STTRAM,64,24360.965,2.053,10.649,4.472,1.534,31.329,134.404,21.298
NVSim,ReadDynamicEnergy,STTRAM,128,43607.861,2.537,11.454,2.490,1.428,31.745,140.268,23.374
NVSim,ReadDynamicEnergy,STTRAM,256,75636.693,2.647,11.535,2.488,1.419,32.808,140.631,24.711
NVSim,ReadDynamicEnergy,STTRAM,512,132075.625,3.022,11.840,2.485,1.382,34.921,141.344,24.755
NVSim,ReadDynamicEnergy,STTRAM,1024,245580.037,4.388,12.841,2.478,1.275,39.057,142.704,24.830
NVSim,ReadDynamicEnergy,STTRAM,2048,472061.674,9.118,17.401,4.387,0.936,44.811,142.964,44.508
NVSim,ReadDynamicEnergy,STTRAM,4096,944123.348,9.204,17.444,4.387,0.936,51.656,149.808,89.017
NVSim,ReadDynamicEnergy,SRAM,16,12776.990,0.436,0.435,103.626,51.864,2.382,1.664,1.780
NVSim,ReadDynamicEnergy,SRAM,32,24447.693,0.699,0.699,71.254,28.855,3.414,2.009,3.374
NVSim,ReadDynamicEnergy,SRAM,64,48895.387,0.703,0.701,71.254,28.855,4.751,3.346,6.748
NVSim,ReadDynamicEnergy,SRAM,128,112095.860,1.510,1.506,45.697,12.033,6.748,4.524,15.616
NVSim,ReadDynamicEnergy,SRAM,256,188911.152,1.563,1.554,40.493,11.647,9.480,6.722,26.013
NVSim,ReadDynamicEnergy,SRAM,512,439635.715,4.485,4.471,21.183,3.775,13.357,8.979,60.222
NVSim,ReadDynamicEnergy,SRAM,1024,741484.223,4.583,4.546,19.676,3.728,18.934,13.471,100.445
NVSim,ReadDynamicEnergy,SRAM,2048,1741000.0,15.513,15.460,8.860,1.060,26.666,17.978,236.414
NVSim,ReadDynamicEnergy,SRAM,4096,2938000.0,15.769,15.620,8.499,1.055,37.996,27.121,394.579
NVSim,ReadDynamicEnergy,RRAM,16,17014.210,1.891,20.556,7.109,0.786,20.666,92.914,19.543
NVSim,ReadDynamicEnergy,RRAM,32,18357.733,2.021,20.721,5.209,0.781,21.463,108.384,19.853
NVSim,ReadDynamicEnergy,RRAM,64,15382.798,2.262,20.959,4.847,0.771,23.346,110.105,20.222
NVSim,ReadDynamicEnergy,RRAM,128,30765.595,2.275,20.966,4.847,0.771,25.941,112.700,40.443
NVSim,ReadDynamicEnergy,RRAM,256,42492.439,2.163,20.753,7.585,0.778,30.056,93.719,79.921
NVSim,ReadDynamicEnergy,RRAM,512,84984.878,2.176,20.759,7.585,0.778,32.685,96.348,159.843
NVSim,ReadDynamicEnergy,RRAM,1024,106947.124,2.468,21.065,5.847,0.767,37.234,108.433,163.993
NVSim,ReadDynamicEnergy,RRAM,2048,213894.248,2.549,21.106,5.847,0.767,43.848,115.047,327.985
NVSim,ReadDynamicEnergy,RRAM,4096,437278.285,2.392,20.837,7.384,0.778,53.502,115.833,675.044
NVSim,ReadDynamicEnergy,PCRAM,16,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,32,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,64,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,128,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,256,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,512,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,1024,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,2048,,,,,,,,
NVSim,ReadDynamicEnergy,PCRAM,4096,,,,,,,,
NVSim,WriteDynamicEnergy,STTRAM,16,37254.377,1.964,10.497,9.457,1.555,166.430,129.617,153.995
NVSim,WriteDynamicEnergy,STTRAM,32,67011.288,2.342,10.867,9.405,1.503,321.497,130.338,307.650
NVSim,WriteDynamicEnergy,STTRAM,64,25040.568,2.317,10.840,9.395,1.504,33.459,130.979,39.267
NVSim,WriteDynamicEnergy,STTRAM,128,41078.347,2.333,10.845,8.269,1.504,33.895,132.118,39.951
NVSim,WriteDynamicEnergy,STTRAM,256,79979.024,3.688,12.194,9.293,1.337,36.603,133.347,78.848
NVSim,WriteDynamicEnergy,STTRAM,512,139569.408,3.708,12.201,8.190,1.337,37.887,135.310,80.222
NVSim,WriteDynamicEnergy,STTRAM,1024,255340.325,8.897,17.359,8.042,0.937,42.086,137.910,80.819
NVSim,WriteDynamicEnergy,STTRAM,2048,510680.650,8.922,17.371,8.042,0.937,45.777,141.601,161.639
NVSim,WriteDynamicEnergy,STTRAM,4096,979533.339,29.143,37.530,7.771,0.431,54.309,146.934,165.421
NVSim,WriteDynamicEnergy,SRAM,16,10965.937,0.599,0.599,29.041,38.907,3.438,0.739,1.523
NVSim,WriteDynamicEnergy,SRAM,32,21234.090,0.747,0.747,15.194,29.071,5.659,1.031,2.998
NVSim,WriteDynamicEnergy,SRAM,64,41090.063,1.044,1.044,13.779,19.163,11.165,1.376,5.634
NVSim,WriteDynamicEnergy,SRAM,128,81101.086,1.372,1.372,7.036,14.180,20.022,1.964,11.184
NVSim,WriteDynamicEnergy,SRAM,256,157179.369,2.385,2.385,6.117,7.553,39.812,2.634,20.999
NVSim,WriteDynamicEnergy,SRAM,512,311000.310,3.086,3.086,3.026,5.744,75.156,3.797,41.791
NVSim,WriteDynamicEnergy,SRAM,1024,611744.682,6.678,6.678,2.525,2.527,149.952,5.070,80.828
NVSim,WriteDynamicEnergy,SRAM,2048,1217000.0,8.417,8.417,1.186,2.000,291.203,7.393,161.273
NVSim,WriteDynamicEnergy,SRAM,4096,2412000.0,21.537,21.537,0.957,0.761,581.930,9.940,317.066
NVSim,WriteDynamicEnergy,RRAM,16,16364.752,1.888,20.360,10.069,0.791,25.513,82.643,38.953
NVSim,WriteDynamicEnergy,RRAM,32,32729.504,1.890,20.361,10.069,0.791,26.535,83.664,77.907
NVSim,WriteDynamicEnergy,RRAM,64,34174.678,1.917,20.431,9.666,0.789,27.111,85.161,78.349
NVSim,WriteDynamicEnergy,RRAM,128,68349.356,1.926,20.436,9.666,0.789,29.237,87.286,156.698
NVSim,WriteDynamicEnergy,RRAM,256,73623.947,1.998,20.560,8.840,0.784,30.371,90.266,157.745
NVSim,WriteDynamicEnergy,RRAM,512,147247.894,2.038,20.580,8.840,0.784,34.966,94.861,315.490
NVSim,WriteDynamicEnergy,RRAM,1024,174730.013,2.129,20.591,8.530,0.784,41.814,100.316,329.147
NVSim,WriteDynamicEnergy,RRAM,2048,349460.026,2.185,20.619,8.530,0.784,47.361,105.863,658.294
NVSim,WriteDynamicEnergy,RRAM,4096,437278.285,2.392,20.837,7.384,0.778,53.502,115.833,675.044
NVSim,WriteDynamicEnergy,PCRAM,16,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,32,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,64,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,128,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,256,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,512,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,1024,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,2048,,,,,,,,
NVSim,WriteDynamicEnergy,PCRAM,4096,,,,,,,,
NVSim,ReadEDP,STTRAM,16,9900.584,1.842,10.367,8.331,1.572,31.166,130.006,19.746
NVSim,ReadEDP,STTRAM,32,14779.559,1.903,10.426,6.601,1.566,31.204,131.473,20.267
NVSim,ReadEDP,STTRAM,64,23028.188,2.015,10.508,6.588,1.554,31.798,131.836,20.615
NVSim,ReadEDP,STTRAM,128,46056.376,2.024,10.512,6.588,1.554,33.936,133.975,41.230
NVSim,ReadEDP,STTRAM,256,81026.272,2.192,10.744,4.466,1.523,35.815,138.557,43.951
NVSim,ReadEDP,STTRAM,512,168211.792,2.086,10.573,6.567,1.549,42.790,142.348,88.247
NVSim,ReadEDP,STTRAM,1024,336423.584,2.192,10.627,6.567,1.549,50.324,149.882,176.494
NVSim,ReadEDP,STTRAM,2048,639414.599,2.318,10.681,6.524,1.549,61.277,159.874,200.404
NVSim,ReadEDP,STTRAM,4096,1279000.0,2.702,10.873,6.524,1.549,75.794,174.392,400.809
NVSim,ReadEDP,SRAM,16,20577.680,0.132,0.125,265.840,279.975,6.646,6.216,2.530
NVSim,ReadEDP,SRAM,32,60621.277,0.14,0.126,210.547,178.478,10.124,9.636,8.362
NVSim,ReadEDP,SRAM,64,67575.586,0.22,0.203,151.627,137.899,10.752,10.179,8.002
NVSim,ReadEDP,SRAM,128,146034.927,0.253,0.218,157.099,142.143,17.068,15.810,15.957
NVSim,ReadEDP,SRAM,256,268330.521,0.373,0.307,100.066,93.887,22.391,21.273,36.035
NVSim,ReadEDP,SRAM,512,443951.423,0.558,0.456,109.364,66.203,29.094,26.038,62.492
NVSim,ReadEDP,SRAM,1024,795507.641,0.763,0.571,77.817,61.457,39.312,35.188,112.335
NVSim,ReadEDP,SRAM,2048,1505000.0,1.185,0.832,68.595,46.159,57.155,48.991,214.867
NVSim,ReadEDP,SRAM,4096,2818000.0,1.892,1.214,43.318,39.977,79.444,67.123,407.426
NVSim,ReadEDP,RRAM,16,17014.210,1.891,20.556,7.109,0.786,20.666,92.914,19.543
NVSim,ReadEDP,RRAM,32,18357.733,2.021,20.721,5.209,0.781,21.463,108.384,19.853
NVSim,ReadEDP,RRAM,64,37772.364,1.892,20.543,7.093,0.786,25.656,97.743,39.812
NVSim,ReadEDP,RRAM,128,55843.544,1.947,20.565,8.252,0.785,28.087,92.397,79.310
NVSim,ReadEDP,RRAM,256,73623.947,1.998,20.560,8.840,0.784,30.371,90.266,157.745
NVSim,ReadEDP,RRAM,512,84984.878,2.176,20.759,7.585,0.778,32.685,96.348,159.843
NVSim,ReadEDP,RRAM,1024,169969.756,2.228,20.785,7.585,0.778,37.960,101.623,319.685
NVSim,ReadEDP,RRAM,2048,349460.026,2.185,20.619,8.530,0.784,47.361,105.863,658.294
NVSim,ReadEDP,RRAM,4096,437278.285,2.392,20.837,7.384,0.778,53.502,115.833,675.044
NVSim,ReadEDP,PCRAM,16,,,,,,,,
NVSim,ReadEDP,PCRAM,32,,,,,,,,
NVSim,ReadEDP,PCRAM,64,,,,,,,,
NVSim,ReadEDP,PCRAM,128,,,,,,,,
NVSim,ReadEDP,PCRAM,256,,,,,,,,
NVSim,ReadEDP,PCRAM,512,,,,,,,,
NVSim,ReadEDP,PCRAM,1024,,,,,,,,
NVSim,ReadEDP,PCRAM,2048,,,,,,,,
NVSim,ReadEDP,PCRAM,4096,,,,,,,,
NVSim,WriteEDP,STTRAM,16,9900.584,1.842,10.367,8.331,1.572,31.166,130.006,19.746
NVSim,WriteEDP,STTRAM,32,19801.169,1.848,10.370,8.331,1.572,32.820,131.660,39.493
NVSim,WriteEDP,STTRAM,64,27564.674,1.957,10.477,8.310,1.556,32.945,131.579,39.862
NVSim,WriteEDP,STTRAM,128,55129.348,1.969,10.483,8.310,1.556,35.381,134.015,79.724
NVSim,WriteEDP,STTRAM,256,93644.991,2.001,10.494,8.276,1.556,40.133,138.336,82.771
NVSim,WriteEDP,STTRAM,512,187289.982,2.035,10.511,8.276,1.556,44.358,142.562,165.541
NVSim,WriteEDP,STTRAM,1024,293691.355,2.530,10.936,6.562,1.503,46.053,145.631,165.278
NVSim,WriteEDP,STTRAM,2048,558139.732,2.627,10.976,6.520,1.503,55.213,153.849,177.625
NVSim,WriteEDP,STTRAM,4096,1116000.0,3.011,11.168,6.520,1.503,69.723,168.359,355.251
NVSim,WriteEDP,SRAM,16,10965.937,0.599,0.599,29.041,38.907,3.438,0.739,1.523
NVSim,WriteEDP,SRAM,32,21234.090,0.747,0.747,15.194,29.071,5.659,1.031,2.998
NVSim,WriteEDP,SRAM,64,41090.063,1.044,1.044,13.779,19.163,11.165,1.376,5.634
NVSim,WriteEDP,SRAM,128,81101.086,1.372,1.372,7.036,14.180,20.022,1.964,11.184
NVSim,WriteEDP,SRAM,256,157356.512,2.362,2.362,6.171,7.635,39.824,2.646,20.959
NVSim,WriteEDP,SRAM,512,311183.038,3.054,3.054,3.044,5.809,75.178,3.819,41.736
NVSim,WriteEDP,SRAM,1024,795507.641,0.763,0.571,77.817,61.457,39.312,35.188,112.335
NVSim,WriteEDP,SRAM,2048,1505000.0,1.185,0.832,68.595,46.159,57.155,48.991,214.867
NVSim,WriteEDP,SRAM,4096,2830000.0,1.883,1.202,45.165,41.545,79.862,67.355,404.056
NVSim,WriteEDP,RRAM,16,29379.061,1.856,20.329,10.178,0.792,25.996,82.666,77.776
NVSim,WriteEDP,RRAM,32,32729.504,1.890,20.361,10.069,0.791,26.535,83.664,77.907
NVSim,WriteEDP,RRAM,64,34174.678,1.917,20.431,9.666,0.789,27.111,85.161,78.349
NVSim,WriteEDP,RRAM,128,68349.356,1.926,20.436,9.666,0.789,29.237,87.286,156.698
NVSim,WriteEDP,RRAM,256,73623.947,1.998,20.560,8.840,0.784,30.371,90.266,157.745
NVSim,WriteEDP,RRAM,512,147247.894,2.038,20.580,8.840,0.784,34.966,94.861,315.490
NVSim,WriteEDP,RRAM,1024,174730.013,2.129,20.591,8.530,0.784,41.814,100.316,329.147
NVSim,WriteEDP,RRAM,2048,349460.026,2.185,20.619,8.530,0.784,47.361,105.863,658.294
NVSim,WriteEDP,RRAM,4096,437278.285,2.392,20.837,7.384,0.778,53.502,115.833,675.044
NVSim,WriteEDP,PCRAM,16,,,,,,,,
NVSim,WriteEDP,PCRAM,32,,,,,,,,
NVSim,WriteEDP,PCRAM,64,,,,,,,,
NVSim,WriteEDP,PCRAM,128,,,,,,,,
NVSim,WriteEDP,PCRAM,256,,,,,,,,
NVSim,WriteEDP,PCRAM,512,,,,,,,,
NVSim,WriteEDP,PCRAM,1024,,,,,,,,
NVSim,WriteEDP,PCRAM,2048,,,,,,,,
NVSim,WriteEDP,PCRAM,4096,,,,,,,,
NVSim,LeakagePower,STTRAM,16,8509.563,2.266,10.792,10.049,1.504,32.820,129.983,19.460
NVSim,LeakagePower,STTRAM,32,12520.284,2.316,10.839,9.395,1.504,32.830,130.350,19.634
NVSim,LeakagePower,STTRAM,64,20539.174,2.330,10.844,8.269,1.504,32.860,131.083,19.976
NVSim,LeakagePower,STTRAM,128,34892.352,3.699,12.196,8.190,1.337,35.024,132.448,20.055
NVSim,LeakagePower,STTRAM,256,64843.005,3.759,12.218,6.512,1.337,35.235,133.914,20.742
NVSim,LeakagePower,STTRAM,512,121186.023,8.948,17.376,6.418,0.937,39.754,136.634,20.892
NVSim,LeakagePower,STTRAM,1024,236030.837,9.096,17.391,4.387,0.936,41.413,139.565,22.254
NVSim,LeakagePower,STTRAM,2048,460516.691,29.318,37.549,4.305,0.431,52.099,145.019,23.249
NVSim,LeakagePower,STTRAM,4096,912255.755,29.797,37.580,2.438,0.431,63.893,150.878,26.670
NVSim,LeakagePower,SRAM,16,10800.700,0.76,0.76,39.788,26.273,4.140,1.045,1.446
NVSim,LeakagePower,SRAM,32,22642.214,1.500,1.500,41.350,12.079,6.221,2.069,2.815
NVSim,LeakagePower,SRAM,64,40262.248,1.768,1.768,18.680,10.382,12.533,1.972,5.312
NVSim,LeakagePower,SRAM,128,78984.622,1.987,1.987,11.181,9.131,21.369,2.263,10.513
NVSim,LeakagePower,SRAM,256,154489.594,5.095,5.095,8.020,3.323,41.887,3.537,20.303
NVSim,LeakagePower,SRAM,512,306468.659,5.678,5.678,4.755,2.982,77.202,4.119,40.420
NVSim,LeakagePower,SRAM,1024,605947.663,17.164,17.164,3.225,0.955,154.082,6.853,79.421
NVSim,LeakagePower,SRAM,2048,1207000.0,18.742,18.742,1.880,0.874,295.276,8.016,158.504
NVSim,LeakagePower,SRAM,4096,2400000.0,62.426,62.426,1.213,0.259,589.076,13.122,314.920
NVSim,LeakagePower,RRAM,16,12441.980,1.900,20.543,8.410,0.786,20.920,85.573,19.495
NVSim,LeakagePower,RRAM,32,9202.993,1.984,20.553,8.840,0.784,26.351,86.246,19.718
NVSim,LeakagePower,RRAM,64,10623.110,2.159,20.751,7.585,0.778,28.077,91.739,19.980
NVSim,LeakagePower,RRAM,128,13368.391,2.441,21.052,5.847,0.767,31.466,102.664,20.499
NVSim,LeakagePower,RRAM,256,18679.196,3.013,21.688,4.002,0.745,37.885,123.680,21.538
NVSim,LeakagePower,RRAM,512,29594.314,3.097,21.719,3.984,0.745,59.803,144.301,24.208
NVSim,LeakagePower,RRAM,1024,59188.627,3.099,21.720,3.984,0.745,60.872,145.370,48.417
NVSim,LeakagePower,RRAM,2048,102792.155,3.407,21.855,3.948,0.745,105.772,187.673,61.128
NVSim,LeakagePower,RRAM,4096,205584.309,3.412,21.858,3.948,0.745,107.694,189.596,122.255
NVSim,LeakagePower,PCRAM,16,,,,,,,,
NVSim,LeakagePower,PCRAM,32,,,,,,,,
NVSim,LeakagePower,PCRAM,64,,,,,,,,
NVSim,LeakagePower,PCRAM,128,,,,,,,,
NVSim,LeakagePower,PCRAM,256,,,,,,,,
NVSim,LeakagePower,PCRAM,512,,,,,,,,
NVSim,LeakagePower,PCRAM,1024,,,,,,,,
NVSim,LeakagePower,PCRAM,2048,,,,,,,,
NVSim,LeakagePower,PCRAM,4096,,,,,,,,
NVSim,Area,STTRAM,16,8509.563,2.266,10.792,10.049,1.504,32.820,129.983,19.460
NVSim,Area,STTRAM,32,12520.284,2.316,10.839,9.395,1.504,32.830,130.350,19.634
NVSim,Area,STTRAM,64,20539.174,2.330,10.844,8.269,1.504,32.860,131.083,19.976
NVSim,Area,STTRAM,128,34892.352,3.699,12.196,8.190,1.337,35.024,132.448,20.055
