Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/16KB/16KB.out,41054.6,0.044,150.025,492.303,0.107,290.67,11750.9,7.97047
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/32KB/32KB.out,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/64KB/64KB.out,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/128KB/128KB.out,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/256KB/256KB.out,46385.2,0.119,150.094,312.539,0.107,420.267,11758.6,22.6074
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/512KB/512KB.out,63378,0.133,150.104,361.181,0.107,494.581,11761.9,33.2127
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/1024KB/1024KB.out,72629.1,0.15,150.116,262.906,0.107,639.976,11765.4,49.8847
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/2048KB/2048KB.out,89514.9,0.178,150.132,171.159,0.107,927.508,11769.1,81.8684
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/4096KB/4096KB.out,105008,0.231,150.175,117.704,0.107,1611.24,11773.4,175.142
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/16KB/16KB.out,72878.8,1.53123,10.0569,10.8595,1.59588,265.89,363.111,2464.18
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/32KB/32KB.out,112062,1.55343,10.068,10.8595,1.59588,270.286,367.508,4928.35
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/64KB/64KB.out,190427,1.64222,10.1124,10.8595,1.59588,278.795,376.016,9856.7
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/128KB/128KB.out,77293.1,1.62149,10.1463,10.7612,1.59426,271.155,368.416,2471.94
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/256KB/256KB.out,120647,1.64858,10.1599,10.7612,1.59426,277.07,374.331,4943.89
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/512KB/512KB.out,77737.7,1.67455,10.1953,10.1156,1.58811,275.711,373.288,1253.4
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/1024KB/1024KB.out,121293,1.68806,10.2021,10.1156,1.58811,281.009,378.587,2506.8
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/2048KB/2048KB.out,208162,1.74211,10.2291,10.1156,1.58811,287.749,385.326,5013.6
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/4096KB/4096KB.out,205876,1.81259,10.2881,8.31438,1.58794,291.803,390.455,2623.7
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/16KB/16KB.out,38552.5,0.03,0.029,742.573,667.538,229.929,229.735,7.46493
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/32KB/32KB.out,43409,0.036,0.032,742.573,667.538,232.589,232.395,14.9299
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/64KB/64KB.out,53428.5,0.054,0.048,489.215,421.442,236.148,235.763,27.5784
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/128KB/128KB.out,72918,0.084,0.063,489.215,421.442,240.957,240.572,55.1569
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/256KB/256KB.out,80424.3,0.102,0.09,373.83,280.426,242.465,241.685,73.2387
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/512KB/512KB.out,104266,0.137,0.119,234.602,194.872,245.238,244.704,122.111
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/1024KB/1024KB.out,155749,0.19,0.151,210.547,178.478,251.32,250.832,267.584
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/2048KB/2048KB.out,295300,0.265,0.197,191.038,151.326,258.918,257.946,471.897
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/4096KB/4096KB.out,396124,0.399,0.288,170.986,140.64,265.83,264.794,660.679
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/16KB/16KB.out,119123,1.58127,20.0688,10.6703,0.799,277.83,623.398,2461.68
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/32KB/32KB.out,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/64KB/64KB.out,104051,1.65203,20.1005,10.1778,0.798,262.395,626.278,2483.52
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/128KB/128KB.out,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/256KB/256KB.out,176088,1.73833,20.1711,10.1782,0.797,270.298,634.469,4970.8
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/512KB/512KB.out,108496,1.74323,20.1974,10.0701,0.797,267.782,633.678,2492.78
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/1024KB/1024KB.out,182810,1.77939,20.2155,10.0701,0.797,274.435,640.331,4985.57
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/2048KB/2048KB.out,189428,1.84164,20.2576,9.81541,0.796,278.503,651.3,2511.79
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/4096KB/4096KB.out,344432,1.88275,20.2782,9.81541,0.796,285.633,658.429,5023.57
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/PCRAM/16KB/16KB.out,41054.6,0.044,150.025,492.303,0.107,290.67,11750.9,7.97047
