Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/SRAM/4096KB/4096KB.out,303080um^2,0.373ps,0.307ps,100.066GB/s,93.887GB/s,261.586pJ,260.467pJ,576.56uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/16KB/16KB.out,172462um^2,1.68412ns,20.1166ns,10.1778GB/s,0.798MB/s,50.4847pJ,414.368pJ,620.88uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/32KB/32KB.out,172705um^2,1.68414ns,20.1166ns,10.1778GB/s,0.798MB/s,79.0804pJ,442.964pJ,1241.76mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/64KB/64KB.out,104051um^2,1.65203ns,20.1005ns,10.1778GB/s,0.798MB/s,262.395pJ,626.278pJ,2483.52mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/128KB/128KB.out,174163um^2,1.68428ns,20.1167ns,10.1778GB/s,0.798MB/s,267.61pJ,631.493pJ,4967.04mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/256KB/256KB.out,176088um^2,1.73833ns,20.1711ns,10.1782GB/s,0.797MB/s,270.298pJ,634.469pJ,4970.8mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/512KB/512KB.out,108496um^2,1.74323ns,20.1974ns,10.0701GB/s,0.797MB/s,267.782pJ,633.678pJ,2492.78mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/1024KB/1024KB.out,182810um^2,1.77939ns,20.2155ns,10.0701GB/s,0.797MB/s,274.435pJ,640.331pJ,4985.57mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/2048KB/2048KB.out,331195um^2,1.92403ns,20.2878ns,10.0701GB/s,0.797MB/s,284.037pJ,649.933pJ,9971.13mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/RRAM/4096KB/4096KB.out,288582um^2,2.01242ns,20.3532ns,9.79297GB/s,0.793MB/s,279.829pJ,644.508pJ,10169.7mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/16KB/16KB.out,49250.6um^2,0.162ps,,186.542GB/s,0.107MB/s,251.548pJ,11532.2nJ,23.5999uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/32KB/32KB.out,81812.6um^2,0.162ps,,186.542GB/s,0.107MB/s,265.678pJ,11546.3nJ,47.1998uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/64KB/64KB.out,82055.6um^2,0.162ps,,186.542GB/s,0.107MB/s,294.543pJ,11575.2nJ,94.3997uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/128KB/128KB.out,53263.3um^2,0.088ps,,368.628GB/s,0.107MB/s,366.446pJ,11758.0nJ,33.7767uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/256KB/256KB.out,55337.9um^2,0.124ps,,343.798GB/s,0.107MB/s,386.775pJ,11760.6nJ,37.8021uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/512KB/512KB.out,58588.4um^2,0.136ps,,312.539GB/s,0.107MB/s,424.18pJ,11762.5nJ,45.2148uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/1024KB/1024KB.out,66774.8um^2,0.184ps,,161.869GB/s,0.107MB/s,609.676pJ,11766.1nJ,205.615uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/2048KB/2048KB.out,117277um^2,0.277ps,,107.356GB/s,0.107MB/s,838.59pJ,11773.2nJ,1050.49mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_capacity/Area/PCRAM/4096KB/4096KB.out,131570um^2,0.301ps,,104.165GB/s,0.107MB/s,984.406pJ,11777.0nJ,1074.59mW
