Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_area,WriteLatency,SRAM,1024,155749,0.19,0.151,210.547,178.478,251.32,250.832,267.584
Destiny,iso_area,WriteLatency,SRAM,2048,295300,0.265,0.197,191.038,151.326,258.918,257.946,471.897
Destiny,iso_area,WriteLatency,SRAM,4096,396124,0.399,0.288,170.986,140.64,265.83,264.794,660.679
Destiny,iso_area,WriteLatency,RRAM,16,119123,1.58127,20.0688,10.6703,0.799,277.83,623.398,2461.68
Destiny,iso_area,WriteLatency,RRAM,32,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
Destiny,iso_area,WriteLatency,RRAM,64,104051,1.65203,20.1005,10.1778,0.798,262.395,626.278,2483.52
Destiny,iso_area,WriteLatency,RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,iso_area,WriteLatency,RRAM,256,176088,1.73833,20.1711,10.1782,0.797,270.298,634.469,4970.8
Destiny,iso_area,WriteLatency,RRAM,512,108496,1.74323,20.1974,10.0701,0.797,267.782,633.678,2492.78
Destiny,iso_area,WriteLatency,RRAM,1024,182810,1.77939,20.2155,10.0701,0.797,274.435,640.331,4985.57
Destiny,iso_area,WriteLatency,RRAM,2048,189428,1.84164,20.2576,9.81541,0.796,278.503,651.3,2511.79
Destiny,iso_area,WriteLatency,RRAM,4096,344432,1.88275,20.2782,9.81541,0.796,285.633,658.429,5023.57
Destiny,iso_area,WriteLatency,PCRAM,16,41054.6,0.044,150.025,492.303,0.107,290.67,11750.9,7.97047
Destiny,iso_area,WriteLatency,PCRAM,32,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
Destiny,iso_area,WriteLatency,PCRAM,64,60342.9,0.076,150.044,406.374,0.107,358.245,11758.6,28.7566
Destiny,iso_area,WriteLatency,PCRAM,128,53263.3,0.088,150.06,368.628,0.107,366.446,11758.0,33.7767
Destiny,iso_area,WriteLatency,PCRAM,256,46385.2,0.119,150.094,312.539,0.107,420.267,11758.6,22.6074
Destiny,iso_area,WriteLatency,PCRAM,512,58588.4,0.136,150.103,312.539,0.107,424.18,11762.5,45.2148
Destiny,iso_area,WriteLatency,PCRAM,1024,92574,0.156,150.115,361.181,0.107,499.954,11767.3,66.4254
Destiny,iso_area,WriteLatency,PCRAM,2048,89514.9,0.178,150.132,171.159,0.107,927.508,11769.1,81.8684
Destiny,iso_area,WriteLatency,PCRAM,4096,130459,0.237,150.175,155.891,0.107,1044.57,11774.9,271.448
Destiny,iso_area,ReadDynamicEnergy,STTRAM,16,389405,1.81276,10.2394,10.5895,1.58104,55.539,152.265,1241.81
Destiny,iso_area,ReadDynamicEnergy,STTRAM,32,778811,2.25915,10.4626,10.5895,1.58104,70.4137,167.139,2483.62
Destiny,iso_area,ReadDynamicEnergy,STTRAM,64,842637,2.05067,10.369,10.478,1.57573,67.9006,163.784,2527.48
Destiny,iso_area,ReadDynamicEnergy,STTRAM,128,1685270.0,2.71568,10.7015,10.478,1.57573,86.3362,182.22,5054.96
Destiny,iso_area,ReadDynamicEnergy,STTRAM,256,2368380.0,2.81952,10.7273,10.4903,1.58389,110.469,206.226,10266.8
Destiny,iso_area,ReadDynamicEnergy,STTRAM,512,4250380.0,3.99365,11.3692,10.4619,1.56199,117.282,211.588,10456.5
