Configuration,Total_Area,Read_L,Write_L,Read_BW,Write_BW,RDE,WDE,Leakage_Power
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/16KB/16KB.out,37254.377um^2,1.964ns,10.497ns,9.457GB/s,1.555GB/s,166.430pJ,129.617pJ,153.995uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/32KB/32KB.out,67011.288um^2,2.342ns,10.867ns,9.405GB/s,1.503GB/s,321.497pJ,130.338pJ,307.650uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/64KB/64KB.out,25040.568um^2,2.317ns,10.840ns,9.395GB/s,1.504GB/s,33.459pJ,130.979pJ,39.267uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/128KB/128KB.out,41078.347um^2,2.333ns,10.845ns,8.269GB/s,1.504GB/s,33.895pJ,132.118pJ,39.951uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/256KB/256KB.out,79979.024um^2,3.688ns,12.194ns,9.293GB/s,1.337GB/s,36.603pJ,133.347pJ,78.848uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/512KB/512KB.out,139569.408um^2,3.708ns,12.201ns,8.190GB/s,1.337GB/s,37.887pJ,135.310pJ,80.222uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/1024KB/1024KB.out,255340.325um^2,8.897ns,17.359ns,8.042GB/s,936.655MB/s,42.086pJ,137.910pJ,80.819uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/2048KB/2048KB.out,510680.650um^2,8.922ns,17.371ns,8.042GB/s,936.655MB/s,45.777pJ,141.601pJ,161.639uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/STTRAM/4096KB/4096KB.out,979533.339um^2,29.143ns,37.530ns,7.771GB/s,430.690MB/s,54.309pJ,146.934pJ,165.421uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/16KB/16KB.out,10965.937um^2,598.745ps,598.745ps,29.041GB/s,38.907GB/s,3.438pJ,0.739pJ,1.523uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/32KB/32KB.out,21234.090um^2,747.492ps,747.492ps,15.194GB/s,29.071GB/s,5.659pJ,1.031pJ,2.998uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/64KB/64KB.out,41090.063um^2,1.044ns,1.044ns,13.779GB/s,19.163GB/s,11.165pJ,1.376pJ,5.634uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/128KB/128KB.out,81101.086um^2,1.372ns,1.372ns,7.036GB/s,14.180GB/s,20.022pJ,1.964pJ,11.184uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/256KB/256KB.out,157179.369um^2,2.385ns,2.385ns,6.117GB/s,7.553GB/s,39.812pJ,2.634pJ,20.999uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/512KB/512KB.out,311000.310um^2,3.086ns,3.086ns,3.026GB/s,5.744GB/s,75.156pJ,3.797pJ,41.791uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/1024KB/1024KB.out,611744.682um^2,6.678ns,6.678ns,2.525GB/s,2.527GB/s,149.952pJ,5.070pJ,80.828uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/2048KB/2048KB.out,1.217mm^2,8.417ns,8.417ns,1.186GB/s,2.000GB/s,291.203pJ,7.393pJ,161.273uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/SRAM/4096KB/4096KB.out,2.412mm^2,21.537ns,21.537ns,956.967MB/s,760.779MB/s,581.930pJ,9.940pJ,317.066uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/16KB/16KB.out,16364.752um^2,1.888ns,20.360ns,10.069GB/s,791.120MB/s,25.513pJ,82.643pJ,38.953uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/32KB/32KB.out,32729.504um^2,1.890ns,20.361ns,10.069GB/s,791.120MB/s,26.535pJ,83.664pJ,77.907uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/64KB/64KB.out,34174.678um^2,1.917ns,20.431ns,9.666GB/s,788.535MB/s,27.111pJ,85.161pJ,78.349uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/128KB/128KB.out,68349.356um^2,1.926ns,20.436ns,9.666GB/s,788.535MB/s,29.237pJ,87.286pJ,156.698uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/256KB/256KB.out,73623.947um^2,1.998ns,20.560ns,8.840GB/s,783.807MB/s,30.371pJ,90.266pJ,157.745uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/512KB/512KB.out,147247.894um^2,2.038ns,20.580ns,8.840GB/s,783.807MB/s,34.966pJ,94.861pJ,315.490uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/1024KB/1024KB.out,174730.013um^2,2.129ns,20.591ns,8.530GB/s,783.817MB/s,41.814pJ,100.316pJ,329.147uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/2048KB/2048KB.out,349460.026um^2,2.185ns,20.619ns,8.530GB/s,783.817MB/s,47.361pJ,105.863pJ,658.294uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/RRAM/4096KB/4096KB.out,437278.285um^2,2.392ns,20.837ns,7.384GB/s,778.058MB/s,53.502pJ,115.833pJ,675.044uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/16KB/16KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteDynamicEnergy/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/16KB/16KB.out,9900.584um^2,1.842ns,10.367ns,8.331GB/s,1.572GB/s,31.166pJ,130.006pJ,19.746uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/32KB/32KB.out,14779.559um^2,1.903ns,10.426ns,6.601GB/s,1.566GB/s,31.204pJ,131.473pJ,20.267uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/64KB/64KB.out,23028.188um^2,2.015ns,10.508ns,6.588GB/s,1.554GB/s,31.798pJ,131.836pJ,20.615uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/128KB/128KB.out,46056.376um^2,2.024ns,10.512ns,6.588GB/s,1.554GB/s,33.936pJ,133.975pJ,41.230uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/256KB/256KB.out,81026.272um^2,2.192ns,10.744ns,4.466GB/s,1.523GB/s,35.815pJ,138.557pJ,43.951uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/512KB/512KB.out,168211.792um^2,2.086ns,10.573ns,6.567GB/s,1.549GB/s,42.790pJ,142.348pJ,88.247uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/1024KB/1024KB.out,336423.584um^2,2.192ns,10.627ns,6.567GB/s,1.549GB/s,50.324pJ,149.882pJ,176.494uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/2048KB/2048KB.out,639414.599um^2,2.318ns,10.681ns,6.524GB/s,1.549GB/s,61.277pJ,159.874pJ,200.404uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/STTRAM/4096KB/4096KB.out,1.279mm^2,2.702ns,10.873ns,6.524GB/s,1.549GB/s,75.794pJ,174.392pJ,400.809uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/16KB/16KB.out,20577.680um^2,131.622ps,125.022ps,265.840GB/s,279.975GB/s,6.646pJ,6.216pJ,2.530uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/32KB/32KB.out,60621.277um^2,139.771ps,125.681ps,210.547GB/s,178.478GB/s,10.124pJ,9.636pJ,8.362uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/64KB/64KB.out,67575.586um^2,220.023ps,203.101ps,151.627GB/s,137.899GB/s,10.752pJ,10.179pJ,8.002uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/128KB/128KB.out,146034.927um^2,252.524ps,218.263ps,157.099GB/s,142.143GB/s,17.068pJ,15.810pJ,15.957uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/256KB/256KB.out,268330.521um^2,373.325ps,307.004ps,100.066GB/s,93.887GB/s,22.391pJ,21.273pJ,36.035uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/512KB/512KB.out,443951.423um^2,558.122ps,455.621ps,109.364GB/s,66.203GB/s,29.094pJ,26.038pJ,62.492uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/1024KB/1024KB.out,795507.641um^2,763.270ps,570.732ps,77.817GB/s,61.457GB/s,39.312pJ,35.188pJ,112.335uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/2048KB/2048KB.out,1.505mm^2,1.185ns,831.826ps,68.595GB/s,46.159GB/s,57.155pJ,48.991pJ,214.867uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/SRAM/4096KB/4096KB.out,2.818mm^2,1.892ns,1.214ns,43.318GB/s,39.977GB/s,79.444pJ,67.123pJ,407.426uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/16KB/16KB.out,17014.210um^2,1.891ns,20.556ns,7.109GB/s,786.179MB/s,20.666pJ,92.914pJ,19.543uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/32KB/32KB.out,18357.733um^2,2.021ns,20.721ns,5.209GB/s,780.510MB/s,21.463pJ,108.384pJ,19.853uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/64KB/64KB.out,37772.364um^2,1.892ns,20.543ns,7.093GB/s,786.370MB/s,25.656pJ,97.743pJ,39.812uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/128KB/128KB.out,55843.544um^2,1.947ns,20.565ns,8.252GB/s,785.326MB/s,28.087pJ,92.397pJ,79.310uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/256KB/256KB.out,73623.947um^2,1.998ns,20.560ns,8.840GB/s,783.807MB/s,30.371pJ,90.266pJ,157.745uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/512KB/512KB.out,84984.878um^2,2.176ns,20.759ns,7.585GB/s,778.049MB/s,32.685pJ,96.348pJ,159.843uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/1024KB/1024KB.out,169969.756um^2,2.228ns,20.785ns,7.585GB/s,778.049MB/s,37.960pJ,101.623pJ,319.685uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/2048KB/2048KB.out,349460.026um^2,2.185ns,20.619ns,8.530GB/s,783.817MB/s,47.361pJ,105.863pJ,658.294uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/RRAM/4096KB/4096KB.out,437278.285um^2,2.392ns,20.837ns,7.384GB/s,778.058MB/s,53.502pJ,115.833pJ,675.044uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/16KB/16KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadEDP/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/16KB/16KB.out,9900.584um^2,1.842ns,10.367ns,8.331GB/s,1.572GB/s,31.166pJ,130.006pJ,19.746uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/32KB/32KB.out,19801.169um^2,1.848ns,10.370ns,8.331GB/s,1.572GB/s,32.820pJ,131.660pJ,39.493uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/64KB/64KB.out,27564.674um^2,1.957ns,10.477ns,8.310GB/s,1.556GB/s,32.945pJ,131.579pJ,39.862uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/128KB/128KB.out,55129.348um^2,1.969ns,10.483ns,8.310GB/s,1.556GB/s,35.381pJ,134.015pJ,79.724uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/256KB/256KB.out,93644.991um^2,2.001ns,10.494ns,8.276GB/s,1.556GB/s,40.133pJ,138.336pJ,82.771uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/512KB/512KB.out,187289.982um^2,2.035ns,10.511ns,8.276GB/s,1.556GB/s,44.358pJ,142.562pJ,165.541uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/1024KB/1024KB.out,293691.355um^2,2.530ns,10.936ns,6.562GB/s,1.503GB/s,46.053pJ,145.631pJ,165.278uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/2048KB/2048KB.out,558139.732um^2,2.627ns,10.976ns,6.520GB/s,1.503GB/s,55.213pJ,153.849pJ,177.625uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/STTRAM/4096KB/4096KB.out,1.116mm^2,3.011ns,11.168ns,6.520GB/s,1.503GB/s,69.723pJ,168.359pJ,355.251uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/16KB/16KB.out,10965.937um^2,598.745ps,598.745ps,29.041GB/s,38.907GB/s,3.438pJ,0.739pJ,1.523uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/32KB/32KB.out,21234.090um^2,747.492ps,747.492ps,15.194GB/s,29.071GB/s,5.659pJ,1.031pJ,2.998uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/64KB/64KB.out,41090.063um^2,1.044ns,1.044ns,13.779GB/s,19.163GB/s,11.165pJ,1.376pJ,5.634uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/128KB/128KB.out,81101.086um^2,1.372ns,1.372ns,7.036GB/s,14.180GB/s,20.022pJ,1.964pJ,11.184uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/256KB/256KB.out,157356.512um^2,2.362ns,2.362ns,6.171GB/s,7.635GB/s,39.824pJ,2.646pJ,20.959uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/512KB/512KB.out,311183.038um^2,3.054ns,3.054ns,3.044GB/s,5.809GB/s,75.178pJ,3.819pJ,41.736uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/1024KB/1024KB.out,795507.641um^2,763.270ps,570.732ps,77.817GB/s,61.457GB/s,39.312pJ,35.188pJ,112.335uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/2048KB/2048KB.out,1.505mm^2,1.185ns,831.826ps,68.595GB/s,46.159GB/s,57.155pJ,48.991pJ,214.867uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/SRAM/4096KB/4096KB.out,2.830mm^2,1.883ns,1.202ns,45.165GB/s,41.545GB/s,79.862pJ,67.355pJ,404.056uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/16KB/16KB.out,29379.061um^2,1.856ns,20.329ns,10.178GB/s,792.403MB/s,25.996pJ,82.666pJ,77.776uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/32KB/32KB.out,32729.504um^2,1.890ns,20.361ns,10.069GB/s,791.120MB/s,26.535pJ,83.664pJ,77.907uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/64KB/64KB.out,34174.678um^2,1.917ns,20.431ns,9.666GB/s,788.535MB/s,27.111pJ,85.161pJ,78.349uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/128KB/128KB.out,68349.356um^2,1.926ns,20.436ns,9.666GB/s,788.535MB/s,29.237pJ,87.286pJ,156.698uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/256KB/256KB.out,73623.947um^2,1.998ns,20.560ns,8.840GB/s,783.807MB/s,30.371pJ,90.266pJ,157.745uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/512KB/512KB.out,147247.894um^2,2.038ns,20.580ns,8.840GB/s,783.807MB/s,34.966pJ,94.861pJ,315.490uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/1024KB/1024KB.out,174730.013um^2,2.129ns,20.591ns,8.530GB/s,783.817MB/s,41.814pJ,100.316pJ,329.147uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/2048KB/2048KB.out,349460.026um^2,2.185ns,20.619ns,8.530GB/s,783.817MB/s,47.361pJ,105.863pJ,658.294uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/RRAM/4096KB/4096KB.out,437278.285um^2,2.392ns,20.837ns,7.384GB/s,778.058MB/s,53.502pJ,115.833pJ,675.044uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/16KB/16KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/128KB/128KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/256KB/256KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/512KB/512KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/1024KB/1024KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/2048KB/2048KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/WriteEDP/PCRAM/4096KB/4096KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/LeakagePower/STTRAM/16KB/16KB.out,8509.563um^2,2.266ns,10.792ns,10.049GB/s,1.504GB/s,32.820pJ,129.983pJ,19.460uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/LeakagePower/STTRAM/32KB/32KB.out,12520.284um^2,2.316ns,10.839ns,9.395GB/s,1.504GB/s,32.830pJ,130.350pJ,19.634uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/LeakagePower/STTRAM/64KB/64KB.out,20539.174um^2,2.330ns,10.844ns,8.269GB/s,1.504GB/s,32.860pJ,131.083pJ,19.976uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/LeakagePower/STTRAM/128KB/128KB.out,34892.352um^2,3.699ns,12.196ns,8.190GB/s,1.337GB/s,35.024pJ,132.448pJ,20.055uW
